time, omega x, omega y, omega z, voltage
2540,124,130,141,5424
5324,113,132,169,5355
7996,113,132,169,5338
10668,99,216,159,5343
13348,99,216,159,5361
16024,-80,401,1292,5356
18748,-80,401,1292,5364
21488,156,289,4872,5361
24244,156,289,4872,5365
27000,-20,49,7768,5375
29684,-20,49,7768,5369
32388,80,509,9128,5381
35100,80,509,9128,5381
37828,408,1240,10047,5371
40664,408,1240,10047,5377
43496,265,1034,10873,5380
46328,265,1034,11980,5381
49156,121,280,11980,5377
51956,121,-232,12940,5382
54768,-75,-87,12940,5363
57512,-75,16,13402,5369
60240,-67,16,13402,5393
62972,-67,198,13362,5383
65740,5,198,13362,5389
68460,-251,65,13440,5389
71236,-72,65,13440,5393
73976,-56,-78,13968,5383
76724,-56,-78,13968,5396
79476,22,44,14654,5400
82196,22,44,14654,5392
84924,44,71,14960,5400
87640,44,71,14960,5381
90364,-114,-75,14932,5382
93160,-114,-75,14932,5388
95944,-95,-167,14964,5391
98728,-95,-167,14964,5394
101508,-32,146,15406,5371
104316,-32,146,15406,5387
107132,68,451,15732,5392
109924,68,451,15732,5404
112720,122,398,15785,5388
115552,122,398,15785,5392
118388,72,279,15530,5393
121184,72,279,15530,5402
123976,111,327,15514,5386
126800,111,327,15514,5398
129632,-5,668,15988,5387
132400,-5,668,15988,5386
135172,81,625,16516,5389
137968,81,625,16516,5391
140764,-39,260,16631,5385
143584,-39,260,16631,5397
146396,-21,120,16330,5380
149208,-21,120,16330,5402
152016,134,329,16613,5383
154844,134,329,17125,5404
157676,278,243,16913,5413
160512,278,-13,16811,5399
163320,196,-40,16811,5397
166128,196,206,16455,5397
168960,-46,206,16455,5392
171768,0,603,16408,5393
174524,0,603,16408,5381
177292,-13,449,16692,5394
180112,-13,449,16692,5388
182924,-115,153,16670,5411
185780,-115,153,16670,5389
188628,-228,-21,16520,5406
191456,-228,-21,16520,5397
194280,58,153,16421,5403
197072,58,153,16421,5402
199864,100,602,16334,5394
202708,100,602,16334,5399
205544,-143,590,16482,5392
208388,-143,590,16482,5396
211236,-342,145,16376,5400
214084,-342,145,16376,5388
216932,-199,116,16367,5391
219788,-199,116,16367,5403
222636,250,445,16539,5400
225480,250,445,16539,5404
228312,323,266,16556,5393
